id_funcionario,nome_completo,sexo,data_nascimento,estado,area,nivel,salario,data_admissao,data_desligamento,motivo_desligamento,nota_comunicacao,nota_trabalho_equipe,nota_organizacao,nota_lideranca,nota_iniciativa,avaliacao_geral,horas_extras,ferias_acumuladas
1,Nicole Vaz,Masculino,1974-12-05,RS,Financeiro,Coordenador,6806.414239807054,2009-11-26,2015-10-17,Outros,7.600114705041051,9.119143067859113,7.489593578502536,9.446465214714408,8.000892975367606,8.214988153507578,34,7
2,Cynthia Ribeiro,Feminino,1969-09-29,GO,Financeiro,Analista,3150.8894907310605,2011-06-24,2019-12-31,Término de contrato,9.38757248222828,8.924100935459137,7.035876569338143,5.509867697255686,6.111856009811163,7.299329089149687,50,23
3,Marta Fahrnholz,Feminino,1993-07-26,SP,RH,Estagiário,1468.9679194707423,2017-08-13,2019-12-31,Pedido do funcionário,9.695572964847088,8.39147524163127,6.569454096257687,6.342204122338444,8.204259101301432,8.441743943700384,26,19
4,Roberto Suzano,Masculino,1971-11-13,PE,Logística,Analista,2611.1638345755637,2006-04-12,NA,NA,7.935421981848776,8.288550035096705,7.974913974292576,6.956133805215359,8.16604024078697,9.063628623923137,57,31
5,Bernard Mello,Masculino,1996-01-19,GO,RH,Estagiário,1777.6390875689685,2005-12-05,NA,NA,6.655750261619687,8.691450588405132,7.3284101681783795,6.522023058496416,8.639814681373537,8.478944247414255,13,20
6,Pedro da Silva,Masculino,1975-02-08,RJ,Financeiro,Analista,3136.8989110924304,2001-07-06,NA,NA,7.490783249028027,8.34583785571158,7.788313671015203,8.873263783752918,6.255440696142614,8.564223583244367,39,16
7,Fernanda de Oliveira Netto,Masculino,1986-07-08,GO,TI,Estagiário,1368.771399417892,2012-02-13,NA,NA,8.494572693482041,6.490011851303279,7.9603386009112,5.262233163230121,9.656899278052151,8.380754297089698,63,35
8,Manuela Abreu Braga Martins,Feminino,1978-12-12,SC,Financeiro,Analista,3745.262533891946,2006-06-02,NA,NA,9.621359445154667,8.665318769402802,9.626132181845605,9.7805109329056,9.42512821406126,9.888057607027127,67,17
9,Gabriel Mesquita,Feminino,1974-02-20,BA,TI,Analista,3283.715596422553,2010-12-23,NA,NA,8.68151051364839,7.901462878100574,6.931870179250836,8.927549029467627,8.058647503145039,7.872949812055126,38,13
10,Bruna Calmon,Masculino,1989-05-19,RJ,Comercial,Coordenador,5055.625553941354,2000-09-28,NA,NA,9.677127107977867,8.337176005356014,6.809159061871469,8.407873178366572,6.574661213904619,8.046785775802128,0,27
11,Marta Fahrnholz,Feminino,1976-02-13,RS,Operações,Analista,3599.3466596119106,2012-11-28,2018-02-19,Pedido do funcionário,8.377054328098893,7.075652467086911,7.403866118751466,9.64031936135143,8.426867060363293,7.419454237577808,73,35
12,Fernanda de Oliveira Netto,Feminino,1971-11-23,RS,Administrativo,Gerente,12793.954038061202,2012-08-25,NA,NA,7.501830006949604,8.808341183699667,8.203263137489557,7.084397221915424,7.231318578124046,7.376913687709142,28,10
13,Carlos Alberto Souza,Masculino,1982-10-01,BA,RH,Analista,3531.6219553351402,2001-02-11,NA,NA,7.552479594014585,6.383901973254979,6.542059602215886,5.222859195200726,6.30678161047399,5.9650991376353275,54,17
14,Mariana Lima,Feminino,1987-12-23,MG,Administrativo,Coordenador,6541.950497077778,2002-05-03,NA,NA,6.915081457234919,6.439728937111795,7.587185508571565,9.26347887259908,9.31564923748374,7.359139151408039,6,17
15,Bruno Almeida,Masculino,1974-01-22,MG,Comercial,Analista,3022.346173878759,2009-06-13,NA,NA,7.072960771620274,6.484819875098765,9.092484186403453,5.17476677778177,8.158636019565165,7.90306147191974,31,20
16,Gabriel Mesquita,Feminino,1990-02-23,PR,TI,Coordenador,6530.584007734433,2015-04-12,NA,NA,8.748512987978756,8.673612002283335,7.049788233824074,5.332149567548186,6.681014472618699,7.547039434155206,73,23
17,Cynthia Ribeiro,Feminino,1988-02-19,RJ,Financeiro,Coordenador,7642.311525996774,2010-12-28,2013-04-27,Pedido do funcionário,7.0485519943758845,9.303109779953957,9.945758435875177,9.368587194476277,6.23967697750777,8.5133904038034,47,27
